# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
0000000000000001	Manual Lens No CPU
000000000000E112	TC-17E II
000000000000F10C	TC-14E [II]
000000000000F10C	Sigma APO Tele Converter 1.4x EX DG
000000000000F10C	Kenko Teleplus PRO 300 DG 1.4x
000000000000F218	TC-20E [II]
000000000000F218	Sigma APO Tele Converter 2x EX DG
000000000000F218	Kenko Teleplus PRO 300 DG 2.0x
0000484853530001	Loreo 40mm F11-22 3D Lens in a Cap 9005
00361C2D343C0006	Tamron SP AF 11-18mm f/4.5-5.6 Di II LD Aspherical (IF) (A13)
003C1F3730300006	Tokina AT-X 124 AF PRO DX (AF 12-24mm f/4)
003C2B4430300006	Tokina AT-X 17-35 F4 PRO FX (AF 17-35mm f/4)
003C5C803030000E	Tokina AT-X 70-200 F4 FX VCM-S (AF 70-200mm f/4)
003E80A0383F0002	Tamron SP AF 200-500mm f/5-6.3 Di LD (IF) (A08)
003F2D802B400006	Tamron AF 18-200mm f/3.5-6.3 XR Di II LD Aspherical (IF) (A14)
003F2D802C400006	Tamron AF 18-200mm f/3.5-6.3 XR Di II LD Aspherical (IF) Macro (A14)
003F80A0383F0002	Tamron SP AF 200-500mm f/5-6.3 Di (A08)
004011112C2C0000	Samyang 8mm f/3.5 Fish-Eye
0040182B2C340006	Tokina AT-X 107 AF DX Fisheye (AF 10-17mm f/3.5-4.5)
00402A722C3C0006	Tokina AT-X 16.5-135 DX (AF 16.5-135mm F3.5-5.6)
00402B2B2C2C0002	Tokina AT-X 17 AF PRO (AF 17mm f/3.5)
00402D2D2C2C0000	Carl Zeiss Distagon T* 3.5/18 ZF.2
00402D802C400006	Tamron AF 18-200mm f/3.5-6.3 XR Di II LD Aspherical (IF) Macro (A14NII)
00402D882C400006	Tamron AF 18-250mm f/3.5-6.3 Di II LD Aspherical (IF) Macro (A18NII)
00402D882C406206	Tamron AF 18-250mm f/3.5-6.3 Di II LD Aspherical (IF) Macro (A18)
004031312C2C0000	Voigtlander Color Skopar 20mm F3.5 SLII Aspherical
004037802C3C0002	Tokina AT-X 242 AF (AF 24-200mm f/3.5-5.6)
004064642C2C0000	Voigtlander APO-Lanthar 90mm F3.5 SLII Close Focus
00446098343C0002	Tokina AT-X 840 D (AF 80-400mm f/4.5-5.6)
0047101024240000	Fisheye Nikkor 8mm f/2.8 AiS
0047252524240002	Tamron SP AF 14mm f/2.8 Aspherical (IF) (69E)
00473C3C24240000	Nikkor 28mm f/2.8 AiS
0047444424240006	Tokina AT-X M35 PRO DX (AF 35mm f/2.8 Macro)
00475380303C0006	Tamron AF 55-200mm f/4-5.6 Di II LD (A15)
00481C2924240006	Tokina AT-X 116 PRO DX (AF 11-16mm f/2.8)
0048272724240000	Carl Zeiss Distagon T* 2.8/15 ZF.2
0048293C24240006	Tokina AT-X 16-28 AF PRO FX (AF 16-28mm f/2.8)
0048295024240006	Tokina AT-X 165 PRO DX (AF 16-50mm f/2.8)
0048323224240000	Carl Zeiss Distagon T* 2.8/21 ZF.2
0048375C24240006	Tokina AT-X 24-70 F2.8 PRO FX (AF 24-70mm f/2.8)
00483C3C24240000	Voigtlander Color Skopar 28mm F2.8 SL II
00483C6024240002	Tokina AT-X 280 AF PRO (AF 28-80mm f/2.8)
00483C6A24240002	Tamron SP AF 28-105mm f/2.8 LD Aspherical IF (176D)
0048505018180000	Nikkor H 50mm f/2
0048507224240006	Tokina AT-X 535 PRO DX (AF 50-135mm f/2.8)
00485C803030000E	Tokina AT-X 70-200 F4 FX VCM-S (AF 70-200mm f/4)
00485C8E303C0006	Tamron AF 70-300mm f/4-5.6 Di LD Macro 1:2 (A17NII)
0048686824240000	Series E 100mm f/2.8
0048808030300000	Nikkor 200mm f/4 AiS
00493048222B0002	Tamron SP AF 20-40mm f/2.7-3.5 (166D)
004C6A6A20200000	Nikkor 105mm f/2.5 AiS
004C7C7C2C2C0002	Tamron SP AF 180mm f/3.5 Di Model (B01)
00532B5024240006	Tamron SP AF 17-50mm f/2.8 XR Di II LD Aspherical (IF) (A16)
00542B5024240006	Tamron SP AF 17-50mm f/2.8 XR Di II LD Aspherical (IF) (A16NII)
0054383818180000	Carl Zeiss Distagon T* 2/25 ZF.2
00543C3C18180000	Carl Zeiss Distagon T* 2/28 ZF.2
005444440C0C0000	Carl Zeiss Distagon T* 1.4/35 ZF.2
0054444418180000	Carl Zeiss Distagon T* 2/35 ZF.2
0054484818180000	Voigtlander Ultron 40mm F2 SLII Aspherical
005450500C0C0000	Carl Zeiss Planar T* 1.4/50 ZF.2
0054505018180000	Carl Zeiss Makro-Planar T* 2/50 ZF.2
005453530C0C0000	Zeiss Otus 1.4/55
005455550C0C0000	Voigtlander Nokton 58mm F1.4 SLII
0054565630300000	Coastal Optical Systems 60mm 1:4 UV-VIS-IR Macro Apo
005462620C0C0000	Carl Zeiss Planar T* 1.4/85 ZF.2
0054686818180000	Carl Zeiss Makro-Planar T* 2/100 ZF.2
0054686824240002	Tokina AT-X M100 AF PRO D (AF 100mm f/2.8 Macro)
0054727218180000	Carl Zeiss Apo Sonnar T* 2/135 ZF.2
00548E8E24240002	Tokina AT-X 300 AF PRO (AF 300mm f/2.8)
0057505014140000	Nikkor 50mm f/1.8 AI
0058646420200000	Soligor C/D Macro MC 90mm f/2.5
0100000000000200	TC-16A
0100000000000800	TC-16A
015462620C0C0000	Zeiss Otus 1.4/85
0158505014140200	AF Nikkor 50mm f/1.8
0158505014140500	AF Nikkor 50mm f/1.8
022F98983D3D0200	Sigma APO 400mm F5.6
0234A0A044440200	Sigma APO 500mm F7.2
02375E8E353D0200	Sigma 75-300mm F4.5-5.6 APO
0237A0A034340200	Sigma APO 500mm F4.5
023A3750313D0200	Sigma 24-50mm F4-5.6 UC
023A5E8E323D0200	Sigma 75-300mm F4.0-5.6
